exposure,exposure_2,trait_category,samplesize,cohorts_used,ancestry,sex,source_type,ieu_id,paper_link,ukb_overlap_confirmation,exposure_units,multiple_testing_correction,confirm,phenoscanner_exclusions,exposure_snps,exposure_group
Lumbar spine BMD (DXA),Lumbar spine BMD (DXA),"Bone, Joint & Musculoskeletal",28498,"UK10K cohorts (TwinsUK, ALSPAC) + GEFOS-2 cohorts",MIX,both,ieugwasr,ieu-a-982,https://www.nature.com/articles/nature14878,"No UKB; UK10K project (TwinsUK, ALSPAC) integrated with GEFOS-2; does not include UK Biobank (Zheng et al. Nature 2015)",SD (g/cm^2),BH,yes,"educat, school, smok",,d5pgsumx2hzj
Femoral neck BMD,Femoral neck BMD,"Bone, Joint & Musculoskeletal",32735,"UK10K (TwinsUK, ALSPAC) + GEFOS-2",MIX,both,ieugwasr,ieu-a-980,https://www.nature.com/articles/nature14878,No UKB; UK10K and GEFOS-2 cohorts (Zheng et al. Nature 2015),SD (g/cm^2),BH,yes,"educat, school, smok",,pf4c8op08xli
Total body BMD (DXA),Total body BMD (DXA),"Bone, Joint & Musculoskeletal",56284,"GEFOS lifecourse: ALSPAC, BMDCS, Generation R, BPROOF, Erasmus Rucphen Family, Framingham, Health ABC, MrOS US/Sweden, Rotterdam, TwinsUK, Australian Twins, KORA, NTR, Sorbs, Young Finns, deCODE, AOGC, BHS, plus 12 others",EUR,both,ieugwasr,ebi-a-GCST005348,https://www.cell.com/ajhg/fulltext/S0002-9297(17)30494-9,No UKB; 30-cohort GEFOS Lifecourse meta-analysis without UK Biobank participants (Medina-Gomez et al. AJHG 2018),SD,BH,yes,"educat, school, smok",,30pj11cvqteu
Forearm BMD (Zheng 2015 GEFOS-2 update),Forearm BMD (Zheng 2015 GEFOS-2 update),"Bone, Joint & Musculoskeletal",8143,GEFOS-2 forearm subset; UK10K-imputed,MIX,both,ieugwasr,ieu-a-977,https://www.nature.com/articles/nature14878,No UKB; population cohorts in GEFOS forearm/cortical analyses (Hwang et al.; Zheng/Paternoster WNT16 PLOS Genetics 2012),SD (g/cm^2),BH,yes,"educat, school, smok",,km8pycgytuko
Serum urate (Kottgen 2013),Serum urate (Kottgen 2013),"Bone, Joint & Musculoskeletal",110347,"CKDGen + Global Urate Genetics Consortium (GUGC): 48 cohorts incl. ARIC, FHS, Rotterdam, AGES, KORA, SHIP, MICROS, TwinsUK, etc.",EUR,both,ieugwasr,ieu-a-1055,https://www.nature.com/articles/ng.2500,No UKB; CKDGen + GUGC pre-UKB consortium meta-analysis (Kottgen et al. Nat Genet 2013),mg/dl,BH,yes,"educat, school, smok",,y0tbmfrj3wmm
